PID,Angles,Trials,Errors
1,angle0,trial1,1
1,angle0,trial2,2
1,angle0,trial3,2
1,angle45,trial1,2
1,angle45,trial2,2
1,angle45,trial3,2
1,angle90,trial1,3
1,angle90,trial2,3
1,angle90,trial3,2
2,angle0,trial1,1
2,angle0,trial2,2
2,angle0,trial3,2
2,angle45,trial1,2
2,angle45,trial2,2
2,angle45,trial3,3
2,angle90,trial1,2
2,angle90,trial2,2
2,angle90,trial3,2
3,angle0,trial1,0
3,angle0,trial2,1
3,angle0,trial3,0
3,angle45,trial1,2
3,angle45,trial2,2
3,angle45,trial3,3
3,angle90,trial1,1
3,angle90,trial2,2
3,angle90,trial3,1
4,angle0,trial1,2
4,angle0,trial2,2
4,angle0,trial3,2
4,angle45,trial1,3
4,angle45,trial2,2
4,angle45,trial3,3
4,angle90,trial1,2
4,angle90,trial2,2
4,angle90,trial3,3
5,angle0,trial1,3
5,angle0,trial2,2
5,angle0,trial3,2
5,angle45,trial1,4
5,angle45,trial2,3
5,angle45,trial3,5
5,angle90,trial1,5
5,angle90,trial2,4
5,angle90,trial3,4
6,angle0,trial1,1
6,angle0,trial2,0
6,angle0,trial3,2
6,angle45,trial1,3
6,angle45,trial2,4
6,angle45,trial3,2
6,angle90,trial1,3
6,angle90,trial2,4
6,angle90,trial3,2
7,angle0,trial1,1
7,angle0,trial2,0
7,angle0,trial3,0
7,angle45,trial1,2
7,angle45,trial2,1
7,angle45,trial3,2
7,angle90,trial1,2
7,angle90,trial2,2
7,angle90,trial3,2
8,angle0,trial1,2
8,angle0,trial2,2
8,angle0,trial3,3
8,angle45,trial1,4
8,angle45,trial2,4
8,angle45,trial3,4
8,angle90,trial1,4
8,angle90,trial2,4
8,angle90,trial3,5
9,angle0,trial1,3
9,angle0,trial2,2
9,angle0,trial3,2
9,angle45,trial1,4
9,angle45,trial2,3
9,angle45,trial3,4
9,angle90,trial1,3
9,angle90,trial2,3
9,angle90,trial3,4
10,angle0,trial1,0
10,angle0,trial2,1
10,angle0,trial3,0
10,angle45,trial1,1
10,angle45,trial2,0
10,angle45,trial3,2
10,angle90,trial1,1
10,angle90,trial2,1
10,angle90,trial3,2
11,angle0,trial1,1
11,angle0,trial2,0
11,angle0,trial3,2
11,angle45,trial1,2
11,angle45,trial2,2
11,angle45,trial3,2
11,angle90,trial1,2
11,angle90,trial2,3
11,angle90,trial3,3
12,angle0,trial1,2
12,angle0,trial2,3
12,angle0,trial3,2
12,angle45,trial1,4
12,angle45,trial2,4
12,angle45,trial3,4
12,angle90,trial1,5
12,angle90,trial2,5
12,angle90,trial3,5
13,angle0,trial1,1
13,angle0,trial2,0
13,angle0,trial3,1
13,angle45,trial1,1
13,angle45,trial2,2
13,angle45,trial3,2
13,angle90,trial1,1
13,angle90,trial2,1
13,angle90,trial3,2
14,angle0,trial1,1
14,angle0,trial2,1
14,angle0,trial3,2
14,angle45,trial1,3
14,angle45,trial2,3
14,angle45,trial3,3
14,angle90,trial1,3
14,angle90,trial2,3
14,angle90,trial3,2
15,angle0,trial1,2
15,angle0,trial2,1
15,angle0,trial3,2
15,angle45,trial1,5
15,angle45,trial2,4
15,angle45,trial3,4
15,angle90,trial1,3
15,angle90,trial2,3
15,angle90,trial3,2
16,angle0,trial1,1
16,angle0,trial2,1
16,angle0,trial3,1
16,angle45,trial1,3
16,angle45,trial2,4
16,angle45,trial3,3
16,angle90,trial1,2
16,angle90,trial2,2
16,angle90,trial3,2
17,angle0,trial1,1
17,angle0,trial2,1
17,angle0,trial3,2
17,angle45,trial1,4
17,angle45,trial2,3
17,angle45,trial3,3
17,angle90,trial1,3
17,angle90,trial2,2
17,angle90,trial3,2
18,angle0,trial1,1
18,angle0,trial2,0
18,angle0,trial3,2
18,angle45,trial1,3
18,angle45,trial2,3
18,angle45,trial3,3
18,angle90,trial1,1
18,angle90,trial2,1
18,angle90,trial3,2
