PID,Angles,Trials,DropOffTime
1,angle0,trial1,24.944
1,angle0,trial2,20.454
1,angle0,trial3,24.973
1,angle45,trial1,19.32
1,angle45,trial2,17.333
1,angle45,trial3,21.417
1,angle90,trial1,22.559
1,angle90,trial2,14.97
1,angle90,trial3,21.223
2,angle0,trial1,30.792
2,angle0,trial2,22.166
2,angle0,trial3,26.113
2,angle45,trial1,19.542
2,angle45,trial2,15.583
2,angle45,trial3,20.919
2,angle90,trial1,20.083
2,angle90,trial2,15.25
2,angle90,trial3,21.085
3,angle0,trial1,31.14
3,angle0,trial2,15.027
3,angle0,trial3,29.087
3,angle45,trial1,20.208
3,angle45,trial2,14.781
3,angle45,trial3,20.278
3,angle90,trial1,22.196
3,angle90,trial2,16.421
3,angle90,trial3,20.942
4,angle0,trial1,25.46
4,angle0,trial2,19.722
4,angle0,trial3,30.247
4,angle45,trial1,20.934
4,angle45,trial2,16.389
4,angle45,trial3,21.572
4,angle90,trial1,33.695
4,angle90,trial2,17.055
4,angle90,trial3,20.655
5,angle0,trial1,25.321
5,angle0,trial2,21.016
5,angle0,trial3,26.753
5,angle45,trial1,22.236
5,angle45,trial2,19.357
5,angle45,trial3,21.224
5,angle90,trial1,20.794
5,angle90,trial2,15.139
5,angle90,trial3,20.279
6,angle0,trial1,31.291
6,angle0,trial2,20.212
6,angle0,trial3,32.474
6,angle45,trial1,27.737
6,angle45,trial2,22.526
6,angle45,trial3,24.558
6,angle90,trial1,20.126
6,angle90,trial2,20.941
6,angle90,trial3,26.183
7,angle0,trial1,32.667
7,angle0,trial2,21.668
7,angle0,trial3,30.584
7,angle45,trial1,26.14
7,angle45,trial2,22.304
7,angle45,trial3,21.484
7,angle90,trial1,24.557
7,angle90,trial2,15.335
7,angle90,trial3,20.825
8,angle0,trial1,38.86
8,angle0,trial2,14.821
8,angle0,trial3,20.101
8,angle45,trial1,18.862
8,angle45,trial2,13.954
8,angle45,trial3,20.241
8,angle90,trial1,19.154
8,angle90,trial2,14.194
8,angle90,trial3,20.372
9,angle0,trial1,25.349
9,angle0,trial2,20.908
9,angle0,trial3,26.142
9,angle45,trial1,24.015
9,angle45,trial2,16.322
9,angle45,trial3,20.679
9,angle90,trial1,29.389
9,angle90,trial2,19.691
9,angle90,trial3,22.817
10,angle0,trial1,26.057
10,angle0,trial2,18.555
10,angle0,trial3,30.265
10,angle45,trial1,27.489
10,angle45,trial2,17.488
10,angle45,trial3,22.865
10,angle90,trial1,40.194
10,angle90,trial2,18.221
10,angle90,trial3,28.915
11,angle0,trial1,24.459
11,angle0,trial2,14.211
11,angle0,trial3,21.249
11,angle45,trial1,26.681
11,angle45,trial2,17.167
11,angle45,trial3,21.835
11,angle90,trial1,34.34
11,angle90,trial2,23.776
11,angle90,trial3,22.529
12,angle0,trial1,30.945
12,angle0,trial2,20.764
12,angle0,trial3,26.126
12,angle45,trial1,30.069
12,angle45,trial2,18.973
12,angle45,trial3,30.488
12,angle90,trial1,21.821
12,angle90,trial2,16.083
12,angle90,trial3,28.376
13,angle0,trial1,23.877
13,angle0,trial2,15.027
13,angle0,trial3,23.553
13,angle45,trial1,23.82
13,angle45,trial2,15.692
13,angle45,trial3,23.279
13,angle90,trial1,23.877
13,angle90,trial2,15.027
13,angle90,trial3,23.553
14,angle0,trial1,35.667
14,angle0,trial2,14.751
14,angle0,trial3,21.072
14,angle45,trial1,20.391
14,angle45,trial2,14.464
14,angle45,trial3,20.78
14,angle90,trial1,23.223
14,angle90,trial2,15.999
14,angle90,trial3,21.501
15,angle0,trial1,19.362
15,angle0,trial2,14.877
15,angle0,trial3,26.253
15,angle45,trial1,19.431
15,angle45,trial2,14.581
15,angle45,trial3,20.436
15,angle90,trial1,27.416
15,angle90,trial2,15.778
15,angle90,trial3,20.89
16,angle0,trial1,26.07
16,angle0,trial2,15.754
16,angle0,trial3,28.904
16,angle45,trial1,29.141
16,angle45,trial2,15.872
16,angle45,trial3,21.907
16,angle90,trial1,22.918
16,angle90,trial2,18.943
16,angle90,trial3,22.863
17,angle0,trial1,36.305
17,angle0,trial2,22.073
17,angle0,trial3,27.961
17,angle45,trial1,27.752
17,angle45,trial2,25.609
17,angle45,trial3,22.351
17,angle90,trial1,20.612
17,angle90,trial2,16.052
17,angle90,trial3,22.725
18,angle0,trial1,27.347
18,angle0,trial2,16.012
18,angle0,trial3,21.708
18,angle45,trial1,28.764
18,angle45,trial2,17.971
18,angle45,trial3,24.236
18,angle90,trial1,21.499
18,angle90,trial2,15.999
18,angle90,trial3,21.124
