PID,Angles,Trials,PickupTime
1,angle0,trial1,22.613
1,angle0,trial2,26.471
1,angle0,trial3,24.999
1,angle45,trial1,18.913
1,angle45,trial2,14.777
1,angle45,trial3,19.866
1,angle90,trial1,20.607
1,angle90,trial2,8.945
1,angle90,trial3,9.976
2,angle0,trial1,29.929
2,angle0,trial2,13.724
2,angle0,trial3,8.055
2,angle45,trial1,15.167
2,angle45,trial2,19.998
2,angle45,trial3,8.167
2,angle90,trial1,24.469
2,angle90,trial2,17.33
2,angle90,trial3,8.554
3,angle0,trial1,18.054
3,angle0,trial2,14.474
3,angle0,trial3,16.412
3,angle45,trial1,33.191
3,angle45,trial2,8.604
3,angle45,trial3,15.949
3,angle90,trial1,30.761
3,angle90,trial2,51.091
3,angle90,trial3,16.292
4,angle0,trial1,27.001
4,angle0,trial2,15.886
4,angle0,trial3,23.754
4,angle45,trial1,13.972
4,angle45,trial2,22.44
4,angle45,trial3,16.277
4,angle90,trial1,22.331
4,angle90,trial2,18.72
4,angle90,trial3,15.0
5,angle0,trial1,43.441
5,angle0,trial2,20.721
5,angle0,trial3,20.665
5,angle45,trial1,26.442
5,angle45,trial2,10.086
5,angle45,trial3,11.469
5,angle90,trial1,15.247
5,angle90,trial2,9.968
5,angle90,trial3,16.89
6,angle0,trial1,24.751
6,angle0,trial2,15.388
6,angle0,trial3,17.97
6,angle45,trial1,41.721
6,angle45,trial2,31.467
6,angle45,trial3,15.14
6,angle90,trial1,12.249
6,angle90,trial2,9.277
6,angle90,trial3,7.75
7,angle0,trial1,99.94
7,angle0,trial2,38.719
7,angle0,trial3,28.721
7,angle45,trial1,25.581
7,angle45,trial2,17.669
7,angle45,trial3,16.226
7,angle90,trial1,10.166
7,angle90,trial2,8.748
7,angle90,trial3,8.056
8,angle0,trial1,16.006
8,angle0,trial2,14.672
8,angle0,trial3,22.36
8,angle45,trial1,8.641
8,angle45,trial2,14.314
8,angle45,trial3,7.584
8,angle90,trial1,18.056
8,angle90,trial2,8.192
8,angle90,trial3,7.823
9,angle0,trial1,33.691
9,angle0,trial2,23.127
9,angle0,trial3,22.747
9,angle45,trial1,22.973
9,angle45,trial2,8.859
9,angle45,trial3,15.615
9,angle90,trial1,50.359
9,angle90,trial2,10.775
9,angle90,trial3,14.777
10,angle0,trial1,27.304
10,angle0,trial2,40.25
10,angle0,trial3,50.028
10,angle45,trial1,33.552
10,angle45,trial2,26.721
10,angle45,trial3,10.805
10,angle90,trial1,129.466
10,angle90,trial2,25.691
10,angle90,trial3,26.959
11,angle0,trial1,35.024
11,angle0,trial2,13.889
11,angle0,trial3,20.338
11,angle45,trial1,73.524
11,angle45,trial2,19.635
11,angle45,trial3,15.44
11,angle90,trial1,26.19
11,angle90,trial2,14.932
11,angle90,trial3,10.72
12,angle0,trial1,18.501
12,angle0,trial2,27.863
12,angle0,trial3,13.475
12,angle45,trial1,34.97
12,angle45,trial2,24.472
12,angle45,trial3,26.585
12,angle90,trial1,22.637
12,angle90,trial2,8.691
12,angle90,trial3,14.893
13,angle0,trial1,17.97
13,angle0,trial2,9.499
13,angle0,trial3,16.769
13,angle45,trial1,23.443
13,angle45,trial2,16.634
13,angle45,trial3,9.283
13,angle90,trial1,17.97
13,angle90,trial2,9.499
13,angle90,trial3,16.769
14,angle0,trial1,32.083
14,angle0,trial2,43.777
14,angle0,trial3,27.363
14,angle45,trial1,18.11
14,angle45,trial2,8.775
14,angle45,trial3,17.142
14,angle90,trial1,27.276
14,angle90,trial2,11.553
14,angle90,trial3,18.667
15,angle0,trial1,18.611
15,angle0,trial2,43.888
15,angle0,trial3,8.448
15,angle45,trial1,17.166
15,angle45,trial2,14.947
15,angle45,trial3,8.085
15,angle90,trial1,27.253
15,angle90,trial2,17.304
15,angle90,trial3,10.447
16,angle0,trial1,69.356
16,angle0,trial2,15.693
16,angle0,trial3,8.087
16,angle45,trial1,18.636
16,angle45,trial2,17.003
16,angle45,trial3,14.004
16,angle90,trial1,30.883
16,angle90,trial2,12.499
16,angle90,trial3,19.863
17,angle0,trial1,28.11
17,angle0,trial2,15.467
17,angle0,trial3,22.861
17,angle45,trial1,30.774
17,angle45,trial2,21.526
17,angle45,trial3,19.139
17,angle90,trial1,18.333
17,angle90,trial2,9.92
17,angle90,trial3,11.582
18,angle0,trial1,21.191
18,angle0,trial2,19.724
18,angle0,trial3,9.836
18,angle45,trial1,48.553
18,angle45,trial2,16.0
18,angle45,trial3,11.197
18,angle90,trial1,11.944
18,angle90,trial2,11.441
18,angle90,trial3,9.294
