PID,Angles,Trials,Time
1,angle0,trial1,54.529
1,angle0,trial2,58.289
1,angle0,trial3,56.515
1,angle45,trial1,44.345
1,angle45,trial2,43.307
1,angle45,trial3,47.408
1,angle90,trial1,48.749
1,angle90,trial2,35.154
1,angle90,trial3,37.518
2,angle0,trial1,69.263
2,angle0,trial2,48.25
2,angle0,trial3,40.529
2,angle45,trial1,40.932
2,angle45,trial2,47.141
2,angle45,trial3,35.35
2,angle90,trial1,53.82
2,angle90,trial2,44.194
2,angle90,trial3,37.251
3,angle0,trial1,55.5
3,angle0,trial2,41.764
3,angle0,trial3,52.81
3,angle45,trial1,59.374
3,angle45,trial2,35.26
3,angle45,trial3,43.867
3,angle90,trial1,60.139
3,angle90,trial2,79.705
3,angle90,trial3,44.136
4,angle0,trial1,58.864
4,angle0,trial2,42.195
4,angle0,trial3,62.71
4,angle45,trial1,40.6
4,angle45,trial2,50.667
4,angle45,trial3,44.323
4,angle90,trial1,75.68
4,angle90,trial2,47.84
4,angle90,trial3,42.196
5,angle0,trial1,74.858
5,angle0,trial2,53.154
5,angle0,trial3,53.667
5,angle45,trial1,58.109
5,angle45,trial2,41.6
5,angle45,trial3,39.292
5,angle90,trial1,41.987
5,angle90,trial2,36.666
5,angle90,trial3,44.378
6,angle0,trial1,62.56
6,angle0,trial2,47.84
6,angle0,trial3,56.971
6,angle45,trial1,76.5
6,angle45,trial2,69.288
6,angle45,trial3,50.321
6,angle90,trial1,39.738
6,angle90,trial2,41.403
6,angle90,trial3,41.307
7,angle0,trial1,140.565
7,angle0,trial2,73.359
7,angle0,trial3,65.902
7,angle45,trial1,57.901
7,angle45,trial2,51.598
7,angle45,trial3,43.753
7,angle90,trial1,40.848
7,angle90,trial2,35.5
7,angle90,trial3,35.7
8,angle0,trial1,61.324
8,angle0,trial2,40.201
8,angle0,trial3,49.3
8,angle45,trial1,33.531
8,angle45,trial2,39.825
8,angle45,trial3,34.158
8,angle90,trial1,42.709
8,angle90,trial2,33.319
8,angle90,trial3,34.112
9,angle0,trial1,65.721
9,angle0,trial2,56.326
9,angle0,trial3,56.195
9,angle45,trial1,53.99
9,angle45,trial2,36.459
9,angle45,trial3,42.808
9,angle90,trial1,91.54
9,angle90,trial2,45.412
9,angle90,trial3,44.983
10,angle0,trial1,59.304
10,angle0,trial2,70.208
10,angle0,trial3,86.667
10,angle45,trial1,67.97
10,angle45,trial2,55.792
10,angle45,trial3,40.32
10,angle90,trial1,176.479
10,angle90,trial2,56.331
10,angle90,trial3,63.25
11,angle0,trial1,75.164
11,angle0,trial2,50.322
11,angle0,trial3,56.308
11,angle45,trial1,109.26
11,angle45,trial2,49.332
11,angle45,trial3,43.775
11,angle90,trial1,66.892
11,angle90,trial2,50.291
11,angle90,trial3,39.72
12,angle0,trial1,55.627
12,angle0,trial2,60.127
12,angle0,trial3,46.143
12,angle45,trial1,80.331
12,angle45,trial2,55.722
12,angle45,trial3,64.157
12,angle90,trial1,50.0
12,angle90,trial2,35.944
12,angle90,trial3,49.103
13,angle0,trial1,47.749
13,angle0,trial2,35.807
13,angle0,trial3,46.572
13,angle45,trial1,54.208
13,angle45,trial2,45.53
13,angle45,trial3,38.924
13,angle90,trial1,47.749
13,angle90,trial2,35.807
13,angle90,trial3,46.572
14,angle0,trial1,76.27
14,angle0,trial2,71.473
14,angle0,trial3,55.866
14,angle45,trial1,44.153
14,angle45,trial2,34.878
14,angle45,trial3,44.241
14,angle90,trial1,56.694
14,angle90,trial2,39.55
14,angle90,trial3,46.28
15,angle0,trial1,44.278
15,angle0,trial2,70.529
15,angle0,trial3,41.713
15,angle45,trial1,43.41
15,angle45,trial2,41.488
15,angle45,trial3,35.21
15,angle90,trial1,61.198
15,angle90,trial2,45.554
15,angle90,trial3,37.768
16,angle0,trial1,102.287
16,angle0,trial2,42.807
16,angle0,trial3,43.95
16,angle45,trial1,54.666
16,angle45,trial2,44.945
16,angle45,trial3,42.62
16,angle90,trial1,60.29
16,angle90,trial2,44.306
16,angle90,trial3,50.143
17,angle0,trial1,71.444
17,angle0,trial2,49.582
17,angle0,trial3,58.43
17,angle45,trial1,65.137
17,angle45,trial2,58.705
17,angle45,trial3,48.74
17,angle90,trial1,44.945
17,angle90,trial2,37.363
17,angle90,trial3,41.475
18,angle0,trial1,54.469
18,angle0,trial2,47.432
18,angle0,trial3,37.989
18,angle45,trial1,84.582
18,angle45,trial2,47.833
18,angle45,trial3,41.697
18,angle90,trial1,39.264
18,angle90,trial2,38.582
18,angle90,trial3,36.737
