"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"v_113";"v_1";"v_2";"v_68";"v_69";"v_67";"v_66";"v_70";"v_71";"v_72";"v_73";"v_30";"v_35";"v_36";"v_37";"v_38";"v_39";"v_40";"v_41";"v_42";"v_55";"v_59";"v_60";"v_61";"v_62";"v_63";"v_83";"v_84";"v_85";"v_86";"v_87";"v_88";"v_89";"v_90";"v_91";"v_92";"v_93";"v_94";"v_95";"v_96";"v_97";"v_98";"v_99";"v_100";"v_101";"v_102";"v_103";"v_104";"v_105";"v_106";"v_107";"v_108";"v_109";"v_110";"v_111";"v_112";"v_114";"v_115";"v_116";"v_117";"v_118";"v_119";"v_120";"v_121";"v_122";"v_123";"v_124";"v_125";"v_126";"v_127";"v_128";"v_129";"v_130";"v_131";"v_132";"v_133";"v_134";"v_135";"v_136";"v_137";"v_138";"v_139";"v_140";"v_141";"v_142";"v_143";"v_144";"v_145";"v_146";"v_147";"v_148";"v_149";"v_150";"v_151";"v_152";"v_153";"v_154";"v_155";"v_156";"v_157";"v_158";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6759660";"rts6759661";"rts6759662";"rts6765035";"rts6765036";"rts6765037";"rts6765038";"rts6765686";"rts6765687";"rts6765688";"rts6765689";"rts6765691";"rts6765692";"rts6765704";"rts6766093";"rts6766105";"rts6766106";"rts6766107";"rts6766111"
"3";"0";"0";"31";"6759643";"-77";"2721";"P_01";"28";"1";"phd student";"-99";"2";"1";"2";"6";"2";"1";"7";"3";"6";"6";"6";"6";"2";"3";"7";"4";"3";"5";"1";"2";"2";"6";"6";"6";"6";"6";"6";"2";"4";"6";"3";"1";"3";"1";"1";"1";"7";"4";"4";"6";"5";"6";"4";"5";"7";"6";"1";"2";"12";"6";"1";"7";"5";"6";"6";"6";"7";"3";"6";"7";"2";"1";"1";"1";"2";"1";"7";"6";"7";"7";"6";"6";"2";"2";"2";"3";"1";"1";"1";"2";"1";"6";"6";"7";"7";"6";"6";"1";"4";"2";"2";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"0";"1";"0";"-77";"-77";"f0c83612bf0a883167d5940ac3afb1e1";"1";"0";"1714722600";"2024-05-03 07:50:00";"2024-05-03 08:35:21";"0000-00-00 00:00:00";"558";"1367";"1429";"1637";"1659";"1886";"1922";"2221";"2245";"2465";"2493";"2693";"2721";"1161";"1552";"1804";"2165";"2417";"2650"
"4";"0";"0";"31";"6759643";"-77";"3325";"P_02";"30";"1";"Student";"Economics";"1";"1";"6";"5";"2";"2";"6";"7";"6";"5";"2";"7";"2";"1";"2";"4";"2";"3";"4";"4";"3";"7";"7";"7";"4";"7";"7";"1";"1";"3";"10";"2";"9";"5";"3";"7";"5";"4";"4";"3";"3";"3";"4";"1";"2";"13";"6";"11";"13";"2";"2";"2";"1";"2";"1";"2";"2";"6";"2";"1";"18";"15";"11";"14";"15";"9";"1";"1";"1";"1";"1";"1";"7";"1";"1";"19";"19";"3";"2";"19";"16";"1";"1";"2";"1";"1";"1";"1";"1";"1";"21";"18";"5";"9";"19";"20";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"1";"0";"0";"-77";"-77";"c59cb8d9ec61815db63233aad0604f48";"1";"0";"1714982551";"2024-05-06 08:02:31";"2024-05-06 08:57:56";"0000-00-00 00:00:00";"295";"1424";"1492";"1841";"1876";"2125";"2155";"2599";"2635";"2969";"3001";"3300";"3325";"1197";"1750";"2064";"2541";"2918";"3274"
"5";"0";"0";"31";"6759643";"-77";"2807";"P_03";"24";"1";"Student";"Informatik";"2";"1";"4";"5";"2";"1";"6";"3";"7";"4";"6";"3";"2";"5";"7";"6";"1";"16";"3";"2";"8";"7";"7";"6";"2";"7";"6";"2";"7";"3";"2";"1";"6";"2";"3";"2";"6";"6";"6";"1";"7";"6";"3";"7";"2";"1";"1";"3";"1";"2";"1";"7";"6";"6";"2";"7";"7";"2";"7";"1";"1";"1";"4";"4";"5";"3";"3";"3";"5";"3";"4";"5";"5";"7";"1";"3";"1";"7";"9";"11";"13";"7";"6";"7";"1";"7";"6";"3";"7";"1";"1";"1";"6";"2";"4";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"1";"1";"0";"-77";"-77";"90a48a340ab5d7ac6428ab59f6d96e72";"1";"0";"1714993148";"2024-05-06 10:59:08";"2024-05-06 11:45:55";"0000-00-00 00:00:00";"57";"978";"1072";"1325";"1392";"1613";"1644";"2086";"2135";"2424";"2499";"2766";"2807";"801";"1248";"1545";"1975";"2345";"2692"
"6";"0";"0";"31";"6759643";"-77";"4263";"P_04";"27";"1";"student";"Media Technology";"1";"1";"2";"5";"2";"2";"5";"2";"6";"4";"4";"2";"5";"4";"2";"3";"2";"1";"1";"1";"1";"4";"4";"4";"5";"5";"5";"5";"5";"2";"1";"1";"1";"1";"1";"1";"4";"2";"4";"2";"2";"6";"2";"4";"1";"20";"5";"1";"16";"16";"8";"2";"3";"1";"2";"2";"2";"2";"2";"2";"18";"4";"1";"1";"15";"5";"4";"5";"4";"4";"4";"4";"4";"4";"1";"4";"1";"1";"1";"1";"2";"4";"2";"4";"2";"2";"4";"2";"4";"2";"17";"5";"1";"1";"15";"8";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"1";"0";"0";"-77";"-77";"9e5b2e563ff8980cb2f8bfc5355a8f06";"1";"0";"1714999510";"2024-05-06 12:45:10";"2024-05-06 13:56:13";"0000-00-00 00:00:00";"1340";"2341";"2372";"2665";"2707";"3192";"3232";"3693";"3732";"3982";"3998";"4238";"4263";"2152";"2579";"3093";"3610";"3911";"4162"
"7";"0";"0";"31";"6759643";"-77";"3034";"P_05";"31";"1";"Research assistant";"-99";"2";"1";"3";"2";"2";"2";"6";"4";"4";"1";"2";"2";"4";"5";"7";"13";"2";"9";"2";"9";"10";"6";"6";"6";"1";"3";"2";"5";"6";"5";"14";"13";"14";"5";"13";"12";"3";"4";"3";"1";"2";"2";"6";"5";"5";"21";"8";"5";"10";"12";"15";"6";"7";"7";"7";"7";"7";"3";"7";"6";"3";"3";"3";"3";"5";"5";"7";"7";"7";"7";"7";"7";"7";"7";"4";"5";"8";"7";"6";"6";"8";"5";"5";"6";"4";"6";"6";"2";"6";"4";"10";"5";"6";"12";"11";"5";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"1";"0";"0";"-77";"-77";"ddfdf697b852eda9928fb99840b2be01";"1";"0";"1715004023";"2024-05-06 14:00:23";"2024-05-06 14:50:57";"0000-00-00 00:00:00";"169";"1046";"1109";"1544";"1584";"2003";"2056";"2423";"2460";"2670";"2699";"2988";"3034";"674";"1449";"1927";"2348";"2645";"2932"
"8";"0";"0";"31";"6759643";"-77";"3201";"P_06";"28";"1";"Student";"Media Technology";"2";"1";"6";"6";"2";"2";"3";"3";"4";"3";"2";"3";"3";"2";"6";"8";"2";"12";"2";"2";"2";"6";"6";"5";"6";"7";"6";"6";"2";"6";"2";"2";"5";"2";"2";"3";"6";"6";"6";"6";"5";"5";"6";"6";"6";"2";"2";"5";"2";"2";"2";"2";"2";"5";"6";"2";"7";"2";"2";"6";"3";"3";"2";"1";"2";"2";"1";"1";"2";"3";"5";"6";"4";"6";"6";"3";"3";"3";"2";"2";"2";"1";"1";"2";"3";"3";"5";"2";"2";"6";"4";"19";"4";"5";"17";"16";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"0";"1";"0";"-77";"-77";"1e244ba19e1c23d7408234ba962f82e9";"1";"0";"1715008922";"2024-05-06 15:22:02";"2024-05-06 16:15:24";"0000-00-00 00:00:00";"124";"855";"887";"1206";"1230";"1538";"1563";"2142";"2172";"2721";"2751";"3166";"3202";"757";"1122";"1445";"2031";"2589";"3087"
"9";"0";"0";"31";"6759643";"-77";"4143";"P_07";"25";"2";"Research assistant";"-99";"1";"1";"5";"4";"2";"2";"7";"6";"6";"7";"1";"7";"5";"2";"7";"19";"16";"10";"2";"3";"1";"7";"7";"7";"7";"7";"7";"1";"2";"1";"20";"18";"1";"1";"6";"1";"6";"6";"7";"6";"7";"7";"2";"2";"2";"21";"21";"1";"1";"13";"1";"7";"5";"7";"6";"7";"7";"1";"2";"4";"21";"20";"1";"1";"18";"1";"5";"7";"6";"6";"7";"7";"3";"3";"1";"21";"19";"1";"1";"17";"1";"7";"7";"7";"7";"7";"7";"3";"3";"1";"19";"19";"1";"1";"14";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"0";"1";"0";"-77";"-77";"ec3749de26d4dbf10e5c990bdc8d3695";"1";"0";"1715068626";"2024-05-07 07:57:06";"2024-05-07 09:06:09";"0000-00-00 00:00:00";"244";"1506";"1562";"2010";"2046";"2520";"2557";"3152";"3174";"3841";"3868";"4116";"4143";"1312";"1905";"2425";"3051";"3768";"4076"
"10";"0";"0";"31";"6759643";"-77";"1497";"P_08";"25";"2";"Student";"RCSE";"2";"1";"2";"6";"2";"2";"5";"4";"5";"6";"6";"6";"4";"5";"7";"18";"2";"2";"8";"17";"3";"7";"7";"7";"3";"3";"7";"1";"1";"3";"10";"10";"2";"1";"3";"1";"7";"7";"7";"4";"4";"2";"6";"2";"2";"3";"1";"1";"1";"3";"1";"6";"6";"6";"5";"5";"2";"5";"3";"2";"3";"1";"10";"1";"1";"1";"5";"5";"7";"2";"7";"7";"6";"1";"2";"3";"11";"1";"1";"2";"1";"7";"7";"7";"5";"2";"4";"7";"3";"2";"2";"1";"3";"1";"2";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"1";"1";"0";"-77";"-77";"bdf4016c1c0700dadd98820e4a10f902";"1";"0";"1715074529";"2024-05-07 09:35:29";"2024-05-07 10:00:26";"0000-00-00 00:00:00";"43";"315";"360";"561";"585";"759";"780";"969";"992";"1268";"1285";"1480";"1497";"46";"513";"722";"914";"1216";"1449"
"11";"0";"0";"31";"6759643";"-77";"3410";"P_09";"25";"1";"Student";"IBE";"2";"2";"7";"7";"2";"2";"2";"7";"6";"3";"2";"3";"6";"1";"7";"10";"2";"1";"5";"2";"1";"6";"5";"7";"3";"2";"3";"6";"1";"7";"2";"2";"2";"6";"2";"1";"4";"6";"7";"2";"1";"2";"6";"1";"7";"2";"1";"2";"2";"1";"1";"7";"7";"7";"1";"1";"2";"7";"1";"7";"2";"1";"1";"3";"1";"1";"5";"6";"7";"2";"3";"3";"5";"1";"7";"2";"1";"1";"4";"2";"1";"7";"7";"7";"2";"2";"1";"6";"1";"7";"1";"1";"1";"1";"1";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"0";"1";"0";"-77";"-77";"1ea4856e2a6830b149c127ad4131bd34";"1";"0";"1715078180";"2024-05-07 10:36:20";"2024-05-07 11:33:10";"0000-00-00 00:00:00";"137";"1235";"1314";"1834";"1887";"2231";"2262";"2793";"2821";"3106";"3146";"3375";"3410";"1052";"1714";"2161";"2732";"3054";"3319"
"12";"0";"0";"31";"6759643";"-77";"2736";"P_10";"25";"2";"research assistant";"virtual and augmented reality";"2";"1";"3";"3";"2";"2";"3";"3";"5";"3";"3";"3";"5";"6";"5";"4";"14";"6";"7";"16";"16";"5";"5";"3";"3";"3";"3";"3";"5";"6";"6";"11";"5";"4";"6";"7";"5";"5";"5";"3";"2";"6";"5";"5";"6";"8";"11";"4";"13";"10";"9";"5";"5";"5";"3";"3";"5";"6";"6";"6";"12";"13";"7";"9";"6";"12";"6";"6";"6";"2";"3";"6";"3";"6";"6";"5";"6";"5";"5";"3";"3";"6";"6";"6";"3";"3";"5";"6";"5";"6";"5";"5";"5";"2";"3";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"-99";"0";"0";"-66";"0";"6759660,6765704,6759661,6759662,6766093,6765035,6765036,6766105,6765037,6765038,6766106,6765686,6765687,6766107,6765688,6765689,6766111,6765691,6765692,6759643";"0";"0";"0";"-77";"-77";"ee362481dc467cbbc9ad69862872a6ce";"1";"0";"1715081813";"2024-05-07 11:36:53";"2024-05-07 12:22:29";"0000-00-00 00:00:00";"218";"1276";"1324";"1606";"1635";"1961";"1985";"2357";"2378";"2538";"2558";"2721";"2736";"1136";"1545";"1908";"2304";"2506";"2659"
